Contrato,NIT,Nombre_Operador,Fecha_inicio_contrato,Fecha_fin_contrato,Modalidad_Juego
C1584,901166159,KONAMET S.A.S,3/09/2018,15/02/2024,JUEGOS LOCALIZADOS
C1585,900597253,INVERCASTILLO S.A.S.,27/07/2018,8/01/2024,JUEGOS LOCALIZADOS
C1589,901087692,MELENDEZ YEPES M.Y.C. S.A.S.,13/08/2018,28/01/2024,JUEGOS LOCALIZADOS
C1590,901535653,TERRA TECNOLOGY SAS,27/08/2018,8/09/2023,JUEGOS LOCALIZADOS
C1591,901160733,GRUPO LOAC SAS,13/09/2018,10/03/2024,JUEGOS LOCALIZADOS
C1592,900880383,INVERSIONES Y REPRESENTACIONES TRIUNFO SAS,15/08/2018,26/08/2023,JUEGOS LOCALIZADOS
C1594,830137826,INVERSIONES PUNTO CINCO SAS,24/10/2018,29/04/2024,JUEGOS LOCALIZADOS
C1595,900305862,HERMANOS SEPULVEDA  BETANCUR & CIA LIMITADA,8/10/2018,30/03/2024,JUEGOS LOCALIZADOS
C1597,900194335,DRAGON SLOT S.A.S.,5/10/2018,19/03/2024,JUEGOS LOCALIZADOS
C1599,811041488,MAQUIJUEGOS S.A.S.,4/09/2018,16/02/2024,JUEGOS LOCALIZADOS
C1600,900618458,SOCIEDAD EMPRESARIAL DE COLOMBIA S.A.S.,13/09/2018,6/03/2024,JUEGOS LOCALIZADOS
C1601,900342051,INVERCASINOS S.A.S.,28/08/2018,26/01/2024,JUEGOS LOCALIZADOS
C1602,901172469,DIVERSOLUCIONES S.A.S,5/10/2018,21/03/2024,JUEGOS LOCALIZADOS
C1603,900176041,ALIANZA ENTRETENIMIENTO S.A.,4/09/2018,1/03/2024,JUEGOS LOCALIZADOS
C1604,900613680,SPORT CENTER LEYMAN S.A.S.,30/08/2018,7/02/2024,JUEGOS LOCALIZADOS
C1605,816008284,INVERSAR S. A.,5/09/2018,17/02/2024,JUEGOS LOCALIZADOS
C1606,811041856,ASAR S.A.S.,6/09/2018,19/02/2024,JUEGOS LOCALIZADOS
C1607,900589087,CREACIONES DALCA S.A.S.,19/10/2018,2/04/2024,JUEGOS LOCALIZADOS
C1608,900539130,EGASA COLOMBIA S.A.S.,30/08/2018,4/03/2024,JUEGOS LOCALIZADOS
C1609,832011318,DIVERSIONES MEGA S.A.S.,7/09/2018,5/02/2024,JUEGOS LOCALIZADOS
C1610,901178646,INVERSIONES LUCKY MACHINES SAS,10/10/2018,15/04/2024,JUEGOS LOCALIZADOS
C1611,901148278,ALFABET S.A.S.,24/09/2018,30/10/2023,JUEGOS OPERADOS POR INTERNET
C1612,901186460,GRUPO DE EMPRESARIOS DEL CARIBE S.A.S,8/10/2018,22/03/2024,JUEGOS LOCALIZADOS
C1613,900141659,COLOMBIAN GAMING S.A.S.,2/10/2018,16/03/2024,JUEGOS LOCALIZADOS
C1614,901037669,TECLINO SAS,27/09/2018,26/09/2023,JUEGOS OPERADOS POR INTERNET
C1615,800001520,APOSTADORES DE RISARALDA S.A.,11/09/2018,23/02/2024,JUEGOS LOCALIZADOS
C1616,900154208,INVERSIONES CASH MONEY LTDA.,2/10/2018,15/10/2023,JUEGOS LOCALIZADOS
C1618,901192144,BEANO CM SAS,24/10/2018,24/04/2024,JUEGOS LOCALIZADOS
C1620,901159452,GRUPO DE EMPRESARIOS DE COLOMBIA GRECOL,28/09/2018,11/03/2024,JUEGOS LOCALIZADOS
C1622,901129683,MERIDIAN GAMING COLOMBIA SAS,23/10/2018,24/12/2023,JUEGOS OPERADOS POR INTERNET
C1623,901189026,LUXURY GAMES,22/10/2018,6/04/2024,JUEGOS LOCALIZADOS
C1624,900325552,CASINOS LA RIVIERA S.A.S.,29/10/2018,8/04/2024,JUEGOS LOCALIZADOS
C1629,900607391,INVERSIONES LOPEZ MORALES S.A.S.,21/11/2018,16/12/2023,JUEGOS LOCALIZADOS
C1630,900639417,INVERSIONES FENIX H.F.D. S.A.S.,17/10/2018,13/04/2024,JUEGOS LOCALIZADOS
C1631,901067324,SERVICIOS DISTRIRED S.A.S.,11/12/2018,10/12/2023,JUEGOS OPERADOS POR INTERNET
C1632,900024874,FIRST GAMING GROUP S.A.S.,19/10/2018,19/03/2024,JUEGOS LOCALIZADOS
C1633,900232103,INVERSIONES PLAZA RESTREPO S.A.S.,9/10/2018,31/03/2024,JUEGOS LOCALIZADOS
C1634,800256745,FOX TECHNOLOGIES S.A.S.,26/10/2018,8/04/2024,JUEGOS LOCALIZADOS
C1635,830137090,GAMES Y TELECOMUNICACIONES S.A.S.,24/10/2018,30/04/2024,JUEGOS LOCALIZADOS
C1636,900132929,INVERSIONISTAS HERMANOS RODRIGUEZ & CIA LTDA.,24/10/2018,7/04/2024,JUEGOS LOCALIZADOS
C1637,805007280,ALADDIN HOTEL & CASINOS S.A.S.,14/11/2018,27/04/2024,JUEGOS LOCALIZADOS
C1638,900194157,CASINO LA PROVINCIA S.A.S.,4/12/2018,19/05/2024,JUEGOS LOCALIZADOS
C1639,900574020,INVERSIONES L.F.P. S.A.S.,7/02/2019,30/07/2024,JUEGOS LOCALIZADOS
C1640,901196936,MEGAJUEGOS HJN SAS,23/11/2018,7/05/2024,JUEGOS LOCALIZADOS
C1641,900051385,MUNDIAL DE DIVERSIONES LTDA.,21/11/2018,5/07/2024,JUEGOS LOCALIZADOS
